EmployeeID,EffectiveDate,Salary,Bonus
E0059,2026-01-01,7596,4076
E0060,2025-01-01,7790,2450
E0060,2026-01-01,8040,5234
E0061,2025-01-01,6921,3242
E0061,2026-01-01,7189,2248
E0062,2025-01-01,7466,795
E0062,2026-01-01,7726,5140
E0063,2025-01-01,7824,2997
E0063,2026-01-01,8062,4348
E0064,2025-01-01,7694,3255
E0064,2026-01-01,7851,6928
E0065,2025-01-01,7471,4599
E0065,2026-01-01,7577,2687
E0066,2025-01-01,7400,796
E0066,2026-01-01,7529,1923
E0067,2025-01-01,7102,2291
E0067,2026-01-01,7306,268
E0068,2025-01-01,7473,3725
E0068,2026-01-01,7604,750
E0069,2025-01-01,6205,23
E0069,2026-01-01,6457,2271
E0070,2025-01-01,6356,1038
E0070,2026-01-01,6469,6076
E0071,2025-01-01,7151,255
E0071,2026-01-01,7415,498
E0072,2025-01-01,7782,4795
E0072,2026-01-01,8041,4492
E0073,2025-01-01,6217,3715
E0073,2026-01-01,6403,3266
E0074,2025-01-01,6270,491
E0074,2026-01-01,6512,4804
E0075,2025-01-01,7468,3950
E0075,2026-01-01,7736,1837
E0076,2025-01-01,6889,50
E0076,2026-01-01,7078,1486
E0077,2025-01-01,6089,4649
E0077,2026-01-01,6387,4884
E0078,2025-01-01,6814,4197
E0078,2026-01-01,7107,932
E0079,2025-01-01,6677,1124
E0079,2026-01-01,6831,6260
E0080,2025-01-01,6868,3573
E0080,2026-01-01,6978,153
E0081,2025-01-01,6838,2964
E0081,2026-01-01,7055,721
E0082,2025-01-01,6605,1588
E0082,2026-01-01,6835,6358
E0083,2025-01-01,6202,4047
E0083,2026-01-01,6499,3800
E0084,2025-01-01,7228,460
E0084,2026-01-01,7479,2883
E0085,2025-01-01,6111,1542
E0085,2026-01-01,6357,2633
E0086,2025-01-01,7680,4282
E0086,2026-01-01,7914,4995
E0087,2025-01-01,7260,4937
E0087,2026-01-01,7424,1231
E0088,2025-01-01,7446,1046
E0088,2026-01-01,7630,5489
E0089,2025-01-01,6450,2423
E0089,2026-01-01,6569,6917
E0090,2025-01-01,6684,2984
E0090,2026-01-01,6889,5540
E0091,2025-01-01,6393,2308
E0091,2026-01-01,6689,6374
E0092,2025-01-01,6362,1313
E0092,2026-01-01,6483,2234
E0093,2025-01-01,6928,1839
E0093,2026-01-01,7123,230
E0094,2025-01-01,6683,2096
E0094,2026-01-01,6787,1766
E0095,2025-01-01,6434,4391
E0095,2026-01-01,6686,134
E0096,2025-01-01,5801,849
E0096,2026-01-01,5962,6320
E0097,2025-01-01,6525,1651
E0097,2026-01-01,6700,358
E0098,2025-01-01,5785,2238
E0098,2026-01-01,5969,1019
E0099,2025-01-01,6708,3477
E0099,2026-01-01,6994,646
E0100,2025-01-01,5385,2888
E0100,2026-01-01,5671,5036
E0101,2025-01-01,5584,3000
E0101,2026-01-01,5744,2966
E0102,2025-01-01,5780,212
E0102,2026-01-01,5909,6026
E0103,2025-01-01,6226,1414
E0103,2026-01-01,6441,5843
E0104,2025-01-01,6172,1426
E0104,2026-01-01,6453,6501
E0105,2025-01-01,5832,3261
E0105,2026-01-01,6011,5873
E0106,2025-01-01,5439,4119
E0106,2026-01-01,5649,453
E0107,2025-01-01,6683,4370
E0107,2026-01-01,6940,765
E0108,2025-01-01,6179,4686
E0108,2026-01-01,6475,3412
E0109,2025-01-01,5406,3404
E0109,2026-01-01,5618,3966
E0110,2025-01-01,6581,1980
E0110,2026-01-01,6762,3821
E0111,2025-01-01,5965,1305
E0111,2026-01-01,6260,4081
E0112,2025-01-01,5862,4396
E0112,2026-01-01,6035,66
E0113,2025-01-01,4919,602
E0113,2026-01-01,5092,3164
E0114,2025-01-01,5009,4170
E0114,2026-01-01,5263,3288
E0115,2025-01-01,5735,2451
E0115,2026-01-01,5935,4863
E0116,2025-01-01,6503,4738
E0116,2026-01-01,6670,4731
E0117,2025-01-01,6406,3430
E0117,2026-01-01,6586,1240
E0118,2025-01-01,6541,2570
E0118,2026-01-01,6737,1418
E0119,2025-01-01,6348,2367
E0119,2026-01-01,6645,5774
E0120,2025-01-01,6518,2356
E0120,2026-01-01,6628,5850
E0121,2025-01-01,6445,1960
E0121,2026-01-01,6695,1986
E0122,2025-01-01,6203,1633
E0122,2026-01-01,6469,6192
E0123,2025-01-01,5249,1526
E0123,2026-01-01,5475,6135
E0124,2025-01-01,5413,1579
E0124,2026-01-01,5582,6625
E0125,2025-01-01,6305,3503
E0125,2026-01-01,6508,4221
E0126,2025-01-01,5331,4771
E0126,2026-01-01,5508,5921
E0127,2025-01-01,5778,3010
E0127,2026-01-01,5953,5035
E0128,2025-01-01,5602,4880
E0128,2026-01-01,5765,6450
E0129,2025-01-01,6423,1682
E0129,2026-01-01,6697,5872
E0130,2025-01-01,5850,2084
E0130,2026-01-01,6051,6688
E0131,2025-01-01,4989,3443
E0131,2026-01-01,5123,3067
E0132,2025-01-01,6691,186
E0132,2026-01-01,6791,2444
E0133,2025-01-01,5556,551
E0133,2026-01-01,5708,826
E0134,2025-01-01,4862,2369
E0134,2026-01-01,5090,1918
E0135,2025-01-01,6552,4846
E0135,2026-01-01,6794,6022
E0136,2025-01-01,6024,4406
E0136,2026-01-01,6317,3879
E0137,2025-01-01,5986,1665
E0137,2026-01-01,6151,2705
E0138,2025-01-01,5669,1735
E0138,2026-01-01,5772,1556
E0139,2025-01-01,5298,4200
E0139,2026-01-01,5490,4073
E0140,2025-01-01,5279,132
E0140,2026-01-01,5416,2136
E0141,2025-01-01,6023,2885
E0141,2026-01-01,6166,1386
E0142,2025-01-01,6825,1895
E0142,2026-01-01,6960,556
E0143,2025-01-01,6809,137
E0143,2026-01-01,6912,4336
E0144,2025-01-01,6483,3251
E0144,2026-01-01,6651,647
E0145,2025-01-01,6474,459
E0145,2026-01-01,6695,5216
E0146,2025-01-01,6039,2296
E0146,2026-01-01,6158,4448
E0147,2025-01-01,6018,3144
E0147,2026-01-01,6202,6189
E0148,2025-01-01,5670,1868
E0148,2026-01-01,5895,2914
E0149,2025-01-01,5984,1263
E0149,2026-01-01,6266,6059
E0150,2025-01-01,5310,4197
E0150,2026-01-01,5552,3342
E0151,2025-01-01,6525,1988
E0151,2026-01-01,6768,4685
E0152,2025-01-01,4998,630
E0152,2026-01-01,5298,2958
E0153,2025-01-01,5065,2742
E0153,2026-01-01,5277,3527
E0154,2025-01-01,6779,2296
E0154,2026-01-01,6975,6688
E0155,2025-01-01,6124,4090
E0155,2026-01-01,6396,1140
E0156,2025-01-01,5727,4398
E0156,2026-01-01,5919,4864
E0157,2025-01-01,4934,4183
E0157,2026-01-01,5090,6118
E0158,2025-01-01,6295,1160
E0158,2026-01-01,6581,2853
E0159,2025-01-01,5710,895
E0159,2026-01-01,5897,5547
E0160,2025-01-01,5839,1616
E0160,2026-01-01,5946,3682
E0161,2025-01-01,6480,3748
E0161,2026-01-01,6630,933
E0162,2025-01-01,6130,1097
E0162,2026-01-01,6251,2565
E0163,2025-01-01,5619,1419
E0163,2026-01-01,5856,4545
E0164,2025-01-01,6497,4028
E0164,2026-01-01,6772,3404
E0165,2025-01-01,4836,927
E0165,2026-01-01,5066,4691
E0166,2025-01-01,5953,4816
E0166,2026-01-01,6106,5645
E0167,2025-01-01,6986,2397
E0167,2026-01-01,7266,2370
E0168,2025-01-01,7434,2638
E0168,2026-01-01,7571,6786
E0169,2025-01-01,6144,2681
E0169,2026-01-01,6368,4767
E0170,2025-01-01,5557,2766
E0170,2026-01-01,5729,4483
E0171,2025-01-01,5483,5
E0171,2026-01-01,5699,3504
E0172,2025-01-01,7194,2502
E0172,2026-01-01,7395,5947
E0173,2025-01-01,6607,1082
E0173,2026-01-01,6815,3913
E0174,2025-01-01,7169,4614
E0174,2026-01-01,7404,69
E0175,2025-01-01,7197,3145
E0175,2026-01-01,7483,2879
E0176,2025-01-01,6630,2421
E0176,2026-01-01,6830,5293
E0177,2025-01-01,6442,1415
E0177,2026-01-01,6681,6248
E0178,2025-01-01,5444,3295
E0178,2026-01-01,5723,675
E0179,2025-01-01,5902,2002
E0179,2026-01-01,6016,706
E0180,2025-01-01,6889,2840
E0180,2026-01-01,7116,4284
E0181,2025-01-01,6885,4184
E0181,2026-01-01,7101,2950
E0182,2025-01-01,7238,3137
E0182,2026-01-01,7431,1229
E0183,2025-01-01,5880,431
E0183,2026-01-01,6108,1469
E0184,2025-01-01,5934,2489
E0184,2026-01-01,6178,6058
E0185,2025-01-01,5812,78
E0185,2026-01-01,6000,2744
E0186,2025-01-01,5854,3383
E0186,2026-01-01,6087,5741
E0187,2025-01-01,7099,3219
E0187,2026-01-01,7279,5740
E0188,2025-01-01,6973,989
E0188,2026-01-01,7177,4390
E0189,2025-01-01,6842,2914
E0189,2026-01-01,7005,3246
E0190,2025-01-01,6293,994
E0190,2026-01-01,6428,97
E0191,2025-01-01,6707,1055
E0191,2026-01-01,6920,753
E0192,2025-01-01,7092,1758
E0192,2026-01-01,7282,1533
E0193,2025-01-01,6754,3137
E0193,2026-01-01,6925,1124
E0194,2025-01-01,6469,4115
E0194,2026-01-01,6713,2634
E0195,2025-01-01,7069,2030
E0195,2026-01-01,7194,5381
E0196,2025-01-01,7381,4853
E0196,2026-01-01,7541,2605
E0197,2025-01-01,6594,4928
E0197,2026-01-01,6753,1792
E0198,2025-01-01,6104,594
E0198,2026-01-01,6297,3060
E0199,2025-01-01,7364,2412
E0199,2026-01-01,7542,1043
E0200,2025-01-01,7440,2712
E0200,2026-01-01,7576,6105
E0201,2025-01-01,7165,2871
E0201,2026-01-01,7282,2102
E0202,2025-01-01,7145,1847
E0202,2026-01-01,7411,1332
E0203,2025-01-01,5691,2768
E0203,2026-01-01,5814,4866
E0204,2025-01-01,6313,1945
E0204,2026-01-01,6489,785
E0205,2025-01-01,6323,1399
E0205,2026-01-01,6475,5228
E0206,2025-01-01,7238,1528
E0206,2026-01-01,7432,3651
E0207,2025-01-01,5794,3171
E0207,2026-01-01,5909,6704
E0208,2025-01-01,5836,4233
E0208,2026-01-01,6082,6557
E0209,2025-01-01,7283,1211
E0209,2026-01-01,7543,6833
E0210,2025-01-01,6460,4813
E0210,2026-01-01,6739,4280
E0211,2025-01-01,7336,3366
E0211,2026-01-01,7524,2163
E0212,2025-01-01,5699,165
E0212,2026-01-01,5894,2767
E0213,2025-01-01,7093,3414
E0213,2026-01-01,7379,4955
E0214,2025-01-01,7147,3304
E0214,2026-01-01,7376,1111
E0215,2025-01-01,5393,250
E0215,2026-01-01,5667,1981
E0216,2025-01-01,6070,1755
E0216,2026-01-01,6316,1813
E0217,2025-01-01,6889,2255
E0217,2026-01-01,7171,3471
E0218,2025-01-01,6612,4864
E0218,2026-01-01,6877,4989
E0219,2025-01-01,6012,3310
E0219,2026-01-01,6265,5411
E0220,2025-01-01,7194,3897
E0220,2026-01-01,7457,5503
